nome,tipo,latitude,longitude
Sabim,UBS/Médico,-15.883555,-48.0185624
Auto-Escola,Escola,-15.8806444,-48.0187481
Supletivos,Escola,-15.8803596,-48.0188691
Creche Canela de Ema,Escola,-15.6473437,-47.8211637
BASE SAMU,Hospital,-16.0282893,-48.0243617
Colégio Paloma,Escola,-16.0268181,-48.0257206
Centro de Saúde Nº 01,Clínica,-16.0268472,-48.026509
Unico - Universidade Corporativa dos Correios,Universidade,-15.7701421,-47.8613586
Zero Um,Escola,-15.7637279,-47.8934937
Yes - Inglês e Espanhol,Escola,-15.7632647,-47.8920531
Colégio Biângulo,Escola,-15.8144133,-48.0861623
FIB Consultório Médico,UBS/Médico,-15.7361016,-47.8959375
Estúdio Mappa,Escola,-15.7964595,-47.9167338
Wise Up,Escola,-15.8307568,-47.9241986
ALUB,Escola,-15.7747066,-47.8887807
Enzo suelem,Hospital,-15.9185718,-48.0976517
Cultura Italiana,Escola,-15.7808978,-47.8850811
Uninter,Universidade,-15.7641688,-47.8932991
Uptime,Escola,-15.8088076,-47.9009976
Yes,Escola,-15.810664,-47.9034878
Sabin,Clínica,-15.8141214,-47.9135942
Wizard,Escola,-15.763647,-47.8918119
SuperGeeks,Escola,-15.7810471,-47.8902963
Climut,Clínica,-15.6183829,-47.6564159
Bravo,Escola,-15.766797,-47.8780643
Me põe na história,Escola,-15.7751531,-47.889112
Espaço Saúde,Clínica,-15.7747795,-47.8862906
Colégio Seriös,Escola,-15.7973083,-47.897349
Ignição Digital,Escola,-15.7387711,-47.8986767
Laboratório Sabin,Clínica,-15.8126752,-47.9116878
SIASS-DF,UBS/Médico,-15.8014039,-47.8699871
inFlux Sudoeste,Escola,-15.7968633,-47.9279436
Congregação Irmãs Oblatas do Menino Jesus,Escola,-15.6725652,-48.1920014
Bom de Bola,Escola,-15.6777575,-48.2013734
Posto de saúde da 202,Hospital,-16.0400714,-48.0306294
Instituto de Educação Montesquieu,Escola,-15.7975744,-48.0458368
Coplen Idiomas,Escola,-15.824678,-47.9228147
Centro de Ensino Médio 04 de Ceilândia,Escola,-15.8311605,-48.1079133
Centro de Ensino Fundamental 07 de Ceilândia,Escola,-15.8306695,-48.0993198
Centro Interescolar de Línguas de Ceilândia,Escola,-15.823914,-48.1000843
Departamento de Geografia,Universidade,-15.7615157,-47.8705926
Tactus Fisioterapia,Clínica,-15.7210214,-47.8818361
Escola da Árvore,Escola,-15.7113422,-47.8443328
Creche Soldadinho de Chumbo,Escola,-15.774451,-47.9365586
Colégio Mafra,Escola,-15.8097543,-48.001468
Ambulatório II,Hospital,-15.7701994,-47.8734075
Universidade Corporativa Banco do Brasil,Universidade,-15.798931,-47.8971883
Park Idiomas,Escola,-15.7640952,-47.8933901
The Kids Club,Escola,-15.8377703,-48.0170057
Park Idiomas,Escola,-15.8377878,-48.0170443
Sabin,Clínica,-15.8354772,-48.0175377
Exame,Clínica,-15.8354834,-48.0191377
Wizard,Escola,-15.8819055,-48.0144848
GTR Instituto de Música,Escola,-15.7638924,-47.8923687
Clínica Ana Maia,Clínica,-15.7640912,-47.8930117
Sabin,Clínica,-15.7640646,-47.8929418
Clinica Médica,UBS/Médico,-15.8014592,-47.9347803
Gastroenterologia,UBS/Médico,-15.8015414,-47.9347132
Pneumologia e Alergia,UBS/Médico,-15.8012793,-47.9349043
Laboratório de Analises Clínicas,UBS/Médico,-15.8011502,-47.9349917
Proctologia,UBS/Médico,-15.8010563,-47.9352438
Cardiologia,UBS/Médico,-15.8011091,-47.9353312
Oftalmologia,UBS/Médico,-15.8011894,-47.9354894
Clínica Cirúrgica,Clínica,-15.8012691,-47.9353625
Urologia,UBS/Médico,-15.8013365,-47.9354863
Pediatria,UBS/Médico,-15.8014466,-47.9353882
Ortopedia,UBS/Médico,-15.8015612,-47.9352925
Ginecologia,UBS/Médico,-15.8016825,-47.9351991
Otorrinolaringologia,UBS/Médico,-15.8014739,-47.9351484
Urocentro,Hospital,-15.8212803,-47.9282777
Clinica de Otorrino Brasilia DF - Asa Sul | Otorrinolaringologia,Hospital,-15.8265631,-47.9307571
Centro Educacional Brink Kids,Escola,-15.8176009,-48.0188865
Clínica do Sono Águas Claras - Taguatinga - DF,Hospital,-15.8412205,-48.028152
Departamento de Ciência da Computação da UnB,Universidade,-15.7585358,-47.8689236
Escola Classe 16,Escola,-15.7936841,-48.1294949
Escola Classe 16,Escola,-15.7869018,-48.1269556
Faculdade de Medicina da UnB,Universidade,-15.7687199,-47.8662138
Instituto Gastronômico das Américas,Escola,-15.7393561,-47.9011257
Núcleo de Nutrição,Universidade,-15.7699393,-47.8676722
Centro de Desenvolvimento Sustentável - CDS,Universidade,-15.7685438,-47.8693444
DIMEQ,Universidade,-15.7724199,-47.8675484
Sala de Sal,Clínica,-15.8334316,-48.0435281
Praouvir,Clínica,-15.8140363,-47.9136807
Digimed,Clínica,-15.813569,-47.9129635
Faculdade ISCON,Escola,-15.8133609,-47.9133621
Uroclinic,Clínica,-15.813993,-47.9136621
Morada Montessori,Escola,-15.8128268,-47.906446
Vitallab,Clínica,-15.813055,-47.9067448
Juliana Castro Instituto de Dança,Escola,-15.812966,-47.9066201
pérola I,Hospital,-15.7380763,-48.2566411
Sem nome,Hospital,-15.7381127,-48.256666
CNA Taguatinga,Escola,-15.837649,-48.0548833
Medcor,Clínica,-15.8069028,-47.9330735
IDESP,Escola,-15.7698095,-47.8888027
CAPS Flor de Lótus,Hospital,-16.012906,-48.0046179
Clinisan,Clínica,-16.0100173,-48.0073482
Psicotrans,UBS/Médico,-15.8569898,-47.9545069
Uniprojeção Unidade II,Universidade,-15.6514745,-47.7820874
SESI Sobradinho,Escola,-15.6414827,-47.7875694
